gt,set
The metabolism of DB00317 can be decreased when combined with DB06595.,training
The metabolism of DB01095 can be decreased when combined with DB00661.,training
The metabolism of DB08816 can be decreased when combined with DB04868.,testing
The metabolism of DB01259 can be decreased when combined with DB00203.,training
The metabolism of DB00530 can be decreased when combined with DB00207.,training
The metabolism of DB00530 can be decreased when combined with DB00201.,validation
The metabolism of DB00530 can be decreased when combined with DB00203.,testing
The metabolism of DB01259 can be decreased when combined with DB00208.,testing
The metabolism of DB00530 can be decreased when combined with DB00208.,validation
The metabolism of DB06684 can be decreased when combined with DB01626.,testing
The metabolism of DB06228 can be decreased when combined with DB09065.,training
The metabolism of DB00554 can be decreased when combined with DB00544.,training
The metabolism of DB03128 can be decreased when combined with DB01601.,validation
The metabolism of DB08893 can be decreased when combined with DB01118.,training
The metabolism of DB00554 can be decreased when combined with DB00549.,validation
The metabolism of DB01367 can be decreased when combined with DB09198.,training
The metabolism of DB00531 can be decreased when combined with DB00208.,training
The metabolism of DB00370 can be decreased when combined with DB01167.,validation
The metabolism of DB00796 can be decreased when combined with DB01095.,validation
The metabolism of DB01196 can be decreased when combined with DB00176.,testing
The metabolism of DB01587 can be decreased when combined with DB00343.,testing
The metabolism of DB01050 can be decreased when combined with DB00472.,training
The metabolism of DB01708 can be decreased when combined with DB01263.,training
The metabolism of DB01708 can be decreased when combined with DB01264.,training
The metabolism of DB01708 can be decreased when combined with DB09074.,training
The metabolism of DB00458 can be decreased when combined with DB00398.,training
The metabolism of DB01228 can be decreased when combined with DB01104.,training
The metabolism of DB06736 can be decreased when combined with DB00338.,training
The metabolism of DB01041 can be decreased when combined with DB00440.,training
The metabolism of DB08875 can be decreased when combined with DB00283.,validation
The metabolism of DB08875 can be decreased when combined with DB00285.,training
The metabolism of DB08875 can be decreased when combined with DB00289.,validation
The metabolism of DB00546 can be decreased when combined with DB00752.,validation
The metabolism of DB01403 can be decreased when combined with DB00482.,training
The metabolism of DB03756 can be decreased when combined with DB12332.,training
The metabolism of DB00370 can be decreased when combined with DB00544.,validation
The metabolism of DB00338 can be decreased when combined with DB01118.,validation
The metabolism of DB00736 can be decreased when combined with DB00951.,training
The metabolism of DB08922 can be decreased when combined with DB01129.,training
The metabolism of DB00712 can be decreased when combined with DB01101.,training
The metabolism of DB01393 can be decreased when combined with DB00619.,validation
The metabolism of DB00983 can be decreased when combined with DB00224.,training
The metabolism of DB11737 can be decreased when combined with DB01232.,training
The metabolism of DB00943 can be decreased when combined with DB00349.,testing
The metabolism of DB00850 can be decreased when combined with DB00169.,testing
The metabolism of DB00324 can be decreased when combined with DB00208.,training
The metabolism of DB06737 can be decreased when combined with DB00440.,training
The metabolism of DB00324 can be decreased when combined with DB00203.,testing
The metabolism of DB00201 can be decreased when combined with DB00608.,training
The metabolism of DB08901 can be decreased when combined with DB08865.,testing
The metabolism of DB01132 can be decreased when combined with DB08880.,validation
The metabolism of DB11817 can be decreased when combined with DB00976.,training
The metabolism of DB03128 can be decreased when combined with DB00268.,testing
The metabolism of DB00367 can be decreased when combined with DB00661.,training
The metabolism of DB03128 can be decreased when combined with DB00264.,training
The metabolism of DB09570 can be decreased when combined with DB00213.,testing
The metabolism of DB09570 can be decreased when combined with DB00215.,training
The metabolism of DB00567 can be decreased when combined with DB01232.,training
The metabolism of DB00337 can be decreased when combined with DB04868.,training
The metabolism of DB01132 can be decreased when combined with DB00622.,training
The metabolism of DB01268 can be decreased when combined with DB00661.,testing
The metabolism of DB01380 can be decreased when combined with DB08865.,training
The metabolism of DB00972 can be decreased when combined with DB00440.,validation
The metabolism of DB01159 can be decreased when combined with DB00472.,validation
The metabolism of DB05294 can be decreased when combined with DB00091.,training
The metabolism of DB01173 can be decreased when combined with DB00199.,testing
The metabolism of DB06217 can be decreased when combined with DB00246.,training
The metabolism of DB01173 can be decreased when combined with DB00196.,testing
The metabolism of DB00277 can be decreased when combined with DB00779.,training
The metabolism of DB01244 can be decreased when combined with DB00976.,training
